2020/12/20 16:25:18.314155582	pcap_ipv4_udp 	192.168.1.6	55501	0	[2]
2020/12/20 16:25:18.339899031	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.339910018	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.339920076	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.339929854	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.339940116	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.339949988	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.339959802	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.339969618	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.339979233	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.339990231	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.339999565	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.340009317	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.340019019	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.340028796	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.340038724	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.340048036	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.340057700	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.340067957	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.340081590	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.340092050	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.340102006	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.340111469	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.340120969	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.340130539	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.340140213	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.340150659	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.340181712	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.340195083	pcap_ipv4_udp 	192.168.1.6	55501	1	[50]
2020/12/20 16:25:18.351373248	pcap_ipv4_udp 	192.168.1.6	55501	2	[63]
2020/12/20 16:25:18.351424255	pcap_ipv4_udp 	192.168.1.6	55501	2	[63]
2020/12/20 16:25:18.351438096	pcap_ipv4_udp 	192.168.1.6	55501	2	[63]
2020/12/20 16:25:18.351448921	pcap_ipv4_udp 	192.168.1.6	55501	2	[63]
2020/12/20 16:25:18.355709008	pcap_ipv4_udp 	192.168.1.6	55501	1	[64]
2020/12/20 16:25:18.356747591	pcap_ipv4_udp 	192.168.1.6	55501	1	[65]
2020/12/20 16:25:18.357782399	pcap_ipv4_udp 	192.168.1.6	55501	2	[66]
2020/12/20 16:25:18.371477411	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371612528	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371627449	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371638182	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371648057	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371658154	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371677547	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371688451	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371698645	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371708030	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371717335	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371726916	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371879623	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371893784	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371903198	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371913010	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371924956	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371934597	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371943558	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371952539	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371961557	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371971190	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371980160	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.371989058	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.372069419	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.372080208	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.372089417	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.372098632	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.372107577	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.372117117	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.372126015	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
2020/12/20 16:25:18.372135232	pcap_ipv4_udp 	192.168.1.6	55501	1	[98]
